yellow	colour, color, |0.0|.1|2
hang	fix, secure, execute, drop, fall, flow, be, attend, listen, cling, obstruct, blockade, block, embarrass, decorate, adorn, grace*, fix, secure, |0.0|.1|19
conjure	raise, evoke, stir, arouse, make, create, bid, press, plead, plot, |0.0|.1|10
trawl	fish, |0.0|.1|1
look	appear, seem, be, be, search, examine, see, front, face, lie, attend, see, care, convey, expect, await, wait, match, fit, correspond, check, gibe, tally, agree, count, bet, depend, calculate, reckon, trust, swear, rely, bank, |0.0|.1|33
pardon	excuse, forgive, forgive, |0.0|.1|3
grant	allow, give, award, give, concede^, yield, agree, hold, accord, allot, give, give, concede^, yield, cede, give, give, gift, present, |0.0|.1|19
funk	shrink, recoil, move, |0.0|.1|3
lord	gentle, entitle, |0.0|.1|2
shave	groom, trim, cut, reduce, trim, cut, plane, cut, carve, graze, rake, |0.0|.1|11
sink	drop, move, displace, pass, lapse, move, settle, descend, fall, descend, fall, dip, decline, slump, drop, slump, collapse^, give, break, founder, bury, implant, embed, plant, |0.0|.1|24
navigate	voyage, sail, travel, journey, pilot, steer, manoeuvre, direct, point, head, guide, channelise, steer, manoeuvre, direct, point, head, guide, channelise, |0.0|.1|19
battle	combat, contend, fight, struggle, |0.0|.1|4
replace	renew, supplant, succeed*, follow, substitute, exchange, change, interchange, put, set, place, pose, position, lay, |0.0|.1|14
foul^	hit, pollute, dirty, soil, clog, congest, choke^, obstruct, impede, jam, block, play, disgrace*, dishonour, shame, dirty, soil, change, |-1.0|.1|18
bring	convey, take, transport, carry, change, alter, modify, work, play, wreak, make, create, get, convey, fetch, transmit, transfer, transport, channel, channelise, land, change, alter, modify, lend, bestow, contribute*, add, change, alter, modify, institute, make, create, fetch, attract, pull, draw, induce, stimulate, cause, have, get, make, |0.0|.1|44
pile	stack, heap, arrange, throng, mob, pack, jam, crowd, put, set, place, pose, position, lay, |0.0|.1|14
persist	prevail, run, endure, continue, continue, uphold, preserve*, remain, stay, |0.0|.1|9
charter	rent, hire, lease, contract, undertake, license, licence, certify, lease, rent, hire, engage, take, get, acquire, |0.0|.1|15
tire	fatigue, deteriorate, drop, wear, fatigue, exhaust, consume, eat, deplete, exhaust, bore, tire, |0.0|.1|12
reopen	open, |0.0|.1|1
pulse	beat, pound, thump, produce, make, create, move, displace, |0.0|.1|8
consist	lie, belong, exist, be, be, match, fit, correspond, check, gibe, tally, agree, comprise, be, |0.0|.1|14
second	back, endorse, support, transfer, |0.0|.1|4
chart	map, plan, graph, represent, interpret, |0.0|.1|5
sustain*	prolong, continue, uphold, preserve*, suffer, have, get, experience, receive, have, get, undergo, nourish, nurture, provide, supply, ply, cater, keep, maintain, have, hold, hold, support, admit, acknowledge, confirm, corroborate, support, affirm, |1.0|.1|30
sail	travel, journey, sweep, move, boat, voyage, navigate, travel, journey, |0.0|.1|9
buzz	sound, go, fly, wing, hum, seethe, be, summon, |0.0|.1|8
loathe^	hate^, |-1.0|.1|1
defer	postpone, table, shelve, delay, submit, bow, accede, yield, succumb, |0.0|.1|9
widen	increase, change, alter, vary, change, alter, modify, broaden, extend, increase, |0.0|.1|10
cook	fix, ready, make, prepare, change, alter, modify, manipulate, fake, falsify, cheat^, |0.0|.1|11
contribute*	lend, bestow, add, bring, change, alter, modify, give, give, lead, promote, advance, boost, further, encourage*, pay, |1.0|.1|16
finger	thumb, touch, feel, search, seek, indicate, point, show, |0.0|.1|8
design	plan, project, intend, destine, designate, specify, create, make, plan, create, make, conceive, intend, mean, think, |0.0|.1|15
increase	change, alter, modify, |0.0|.1|3
shock	stun, floor, surprise, offend, outrage, disgust, revolt^, dismay, alarm, clash, gather, garner, collect, treat, traumatise, injure, wound, |0.0|.1|17
misjudge	mistake, slip, |0.0|.1|2
avert	deflect, avoid, prevent, forestall, foreclose^, preclude, forbid, turn, |0.0|.1|8
splinter	secede^, separate, part, split, break, divide, split, separate, fragment, |0.0|.1|9
report	describe, account, inform, announce, announce, inform, cover, inform, complain, kick, plain, |0.0|.1|11
personalise	personalize, change, alter, modify, |0.0|.1|4
cart	haul, drag, pull, draw, force, transport, carry, |0.0|.1|7
kid	dupe, fool, jolly, josh, rag, bait, taunt, rally, ride, |0.0|.1|9
elaborate	enlarge, expand*, clarify, produce, make, create, complicate, refine, change, alter, modify, develop, |0.0|.1|12
climb	mount, rise, lift, arise*, uprise, move, wax, mount, rise, increase, slope, incline, pitch, progress*, advance, rise, grow, |0.0|.1|17
ground	anchor, fix, secure, restrain, confine, hold, put, set, place, pose, position, lay, teach, learn, instruct, make, attain, hit, gain, throw, hit, hit, prime, paint, connect, link, tie, establish, base, found, |0.0|.1|30
grind	crunch, press, grate, fragment, mash, crunch, fragment, labor, labour, dig, work, dance, make, create, shape, form, work, forge, |0.0|.1|18
explain	inform, state, say, tell, excuse, justify, vindicate, |0.0|.1|7
cheat^	shaft, screw, beat, crush, shell, vanquish, betray, wander, |-1.0|.1|8
speak	talk, utter, mouth, communicate, talk, communicate, talk, communicate, address, sound, |0.0|.1|10
overshadow	eclipse, excel, surpass, shadow, dwarf, dominate, command, overlook, obscure, fog, cloud, mist, |0.0|.1|12
marginalise	marginalize, interact, |0.0|.1|2
strike	hit, touch, touch, affect, impress, move, hit, attack, assail, read, register, show, record, hit, affect, impact, touch, protest, resist, dissent, fall, shine, happen, occur, pass, achieve, accomplish*, attain, reach, hit, touch, shape, form, attain, discover, find, regain, make, create, scratch, excise, cancel, hit, hit, move, displace, assume, take, move, mint, coin, level, even, solve, work, |0.0|.1|55
herald	announce, harbinger, foretell, tell, acclaim, hail, hail, greet, recognize, |0.0|.1|9
expire^	die, go, exit, pass, conk, choke^, turn, breathe, |-1.0|.1|8
standardize	regulate, order, govern, measure, evaluate, assess, value, |0.0|.1|7
hurt^	smart, pain, anguish, upset, injure, damage^, wound, injure, bruise, offend, spite, arouse, elicit, kindle, evoke, fire, raise, provoke, suffer, perceive, suffer, be, |-1.0|.1|22
glass	glaze, supply, provide, furnish, scan, insert, introduce, glaze, change, |0.0|.1|9
tie	bind, fix, secure, draw, equal, match, equate, restrict, restrain, limit, bound, confine, connect, link, shape, form, bind, attach, bond, relate, marry, wed, fashion, forge, connect, link, |0.0|.1|26
hole	hit, |0.0|.1|1
hold	throw, have, make, give, direct, keep, maintain, restrain, confine, disable, incapacitate, bear, have, have, deem, see, consider, reckon, view, regard, bear, carry, contain, include, control, contain, check, curb, moderate, restrain, suppress, keep, continue, proceed, keep, harbor, entertain, nurse, feel, experience, affirm, verify, assert, aver, swan, swear, think, believe, consider, conceive, retain, keep, support, sustain*, capture, catch, captivate*, beguile, charm, fascinate*, entrance, enchant, restrain, suppress, keep, carry, bear, accommodate, admit, contain, take, be, prevail, obtain, exist, be, control, command, defend, guard, protect, declare, evaluate, judge, be, halt, arrest, stop, oblige, bind, obligate, relate, cover, carry, drink, booze, apply, refer, pertain, relate, concern, touch, reserve, book, request, bespeak, quest, defy, withstand, resist, withstand, prevent, keep, postpone, table, shelve, defer, aim, take, train, direct, agree, |0.0|.1|122
lock	fix, secure, engage, mesh, operate, move, displace, engage, hold, hug, bosom, squeeze, overwhelm, whelm, overcome, overtake, confine, pass, construct, build, make, |0.0|.1|21
pursue	prosecute, engage, act, move, follow, travel, go, move, search, seek, react, oppose, |0.0|.1|12
