yellow	  1,discolor, discolour, colour, color
hang	  1,2, hang up,fasten, fix, secure,3, string up,execute, put to death,4,drop,5, fall, flow,6,be,7,attend,  advert, pay heed, give ear,listen,8,9,cling, grasp, hold on,10,11,obstruct, blockade, block, hinder, stymie, stymy, embarrass,12,decorate, adorn, grace, ornament, embellish, beautify,13,14,fasten, fix, secure,15,decompose, rot, molder, moulder
conjure	  1,raise,  conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth,make, create,2,bid, beseech, entreat, adjure, press, plead,3,conspire, cabal, complot,  machinate,plot
trawl	  1,fish
look	  1,2, appear, seem,be,3,be,4,search, examine, see,5,front,  face,lie,6,attend, take care,  see,care, give care,7,convey, impart,8,expect,  await, wait,9,match, fit, correspond, check, jibe, gibe, tally, agree,10,count, bet, depend,  calculate, reckon,trust, swear, rely, bank
pardon	  1,excuse, forgive,2,forgive
grant	  1,allow, give,2,award, give,3,concede, yield, agree, hold, concur, concord,4,accord, allot, give,5, give,6,concede, yield, cede, give,7, deed over,give, gift, present
funk	  1,flinch, squinch,  cringe, shrink, wince, recoil, quail,move
lord	  1,ennoble, gentle, entitle
shave	  1,groom, neaten,2, trim,cut,3, knock off,reduce, cut down, cut back, trim, trim down, trim back, cut, bring down,4,plane, cut,5,carve, cut up,6,graze, crease, rake
sink	  1, drop, drop down,change posture,2,move, displace,3, pass, lapse,move,4, settle, go down, go under,descend, fall, go down, come down,5, subside,descend, fall, go down, come down,6,dip, decline,7,slump, fall off, drop,8,slump, slide down, collapse, fall in, cave in, give, give way, break, founder,9,bury, implant, engraft, embed, imbed, plant
navigate	  1,voyage, sail, travel, journey,2, pilot,steer, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, channelise,3,steer, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, channelise
battle	  1, combat,contend, fight, struggle
replace	  1,regenerate, renew,2,supplant,  supersede, supervene upon, supercede,succeed, come after, follow,3,substitute, exchange, change, interchange,4, put back,put, set, place, pose, position, lay
foul	  1,hit,2,pollute,  contaminate,dirty, soil, begrime, grime, colly, bemire,3,clog, choke off, clog up, back up, congest, choke, obstruct, obturate, impede, occlude, jam, block, close up,4,play,5, be defile, maculate,dishonor, disgrace, dishonour, attaint, shame,6,dirty, soil, begrime, grime, colly, bemire,7,change
bring	  1, convey, take,transport, carry,2,change, alter, modify,3, work, play, wreak, make for,make, create,4, get, convey, fetch,transmit, transfer, transport, channel, channelize, channelise,5, land,change, alter, modify,6,7,lend, impart, bestow, contribute, add, change, alter, modify,8,institute, make, create,9,fetch, bring in, 10,attract, pull, pull in, draw, draw in,11,induce, stimulate, cause, have, get, make
pile	  1,stack,  heap,arrange, set up,2,throng, mob, pack,  jam,crowd, crowd together,3,put, set, place, pose, position, lay
persist	  1,prevail,  die hard, run, endure,continue,2,persevere,  hang in, hang on, hold on,continue, uphold, carry on, bear on, preserve,3, remain, stay
charter	  1,rent, hire,  lease,contract, undertake,2,license, licence, certify,3,lease, rent, hire,  engage, take,get, acquire
tire	  1, pall, weary, fatigue, jade,devolve, deteriorate, drop, degenerate,2, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue,indispose,3,run down, exhaust, play out, sap, consume, eat up, use up, eat, deplete, exhaust, run through, wipe out,4,bore, tire
reopen	  1,open, open up
pulse	  1,pulsate, throb, beat, pound, thump,2, pulsate,produce, make, create,3,move, displace
tire	  1, pall, weary, fatigue, jade,devolve, deteriorate, drop, degenerate,2, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue,indispose,3,run down, exhaust, play out, sap, consume, eat up, use up, eat, deplete, exhaust, run through, wipe out,4,bore, tire
consist	  1,dwell,  lie, belong, lie in,exist, be,2,be,3,match, fit, correspond, check, jibe, gibe, tally, agree,4, comprise,be
second	  1, back, endorse, indorse,support, back up,2,transfer, reassign
chart	  1,map,2,plan,3,graph, represent, interpret
sustain	  1,prolong,  keep up,continue, uphold, carry on, bear on, preserve,2,suffer,  have, get,experience, receive, have, get, undergo,3,nourish, nurture, provide, supply, ply, cater,4, keep, maintain,have, have got, hold,5,hold, support,  hold up,6,admit, acknowledge,7,confirm, corroborate,  substantiate, support, affirm
sail	  1,travel, journey,2,sweep, move,3,boat,4,voyage,  navigate,travel, journey
buzz	  1, bombinate, bombilate,sound, go,2,fly, wing,3,hum,  seethe,be,4,summon
loathe	  1,abhor,  abominate, execrate,hate, detest
defer	  1,postpone, prorogue, hold over, put over, table, shelve, set back,  remit, put off,delay,2,submit, bow,  accede, give in,yield, give in, succumb, knuckle under, buckle under
widen	  1,increase,2,let out, change, alter, vary,3,change, alter, modify,4, broaden, extend,increase
cook	  1,create from raw material, create from raw stuff,2, fix, ready, make, prepare,create from raw material, create from raw stuff,3,change integrity,4,change, alter, modify,5,fudge, manipulate, fake, falsify,  wangle, misrepresent,cheat, chisel
contribute	  1,lend, impart, bestow,  add, bring,change, alter, modify,2, give, chip in, kick in,give,3, lead, conduce,promote, advance, boost, further, encourage,4,put up, pay
finger	  1, thumb,touch,2,feel, 3,search, seek, look for,4,indicate, point, show
design	  1,plan, project, contrive, create by mental act, create mentally,2,intend, destine, designate, specify,3,create, make,4, plan,create by mental act, create mentally,5,create, make,6,gestate, conceive, conceptualize, conceptualise,7,intend, mean, think
increase	  1,change magnitude,2,change, alter, modify
shock	  1, stun, floor, ball over, blow out of the water, take aback,surprise,2, offend, scandalize, scandalise, appal, appall, outrage,disgust, revolt, nauseate, sicken, churn up,3,dismay, alarm, appal, appall, horrify,4,collide, clash,5,gather, garner, collect, pull together,6,treat, care for,7,traumatize, traumatise, injure, wound
misjudge	  1,err, mistake, slip
avert	  1,debar, obviate, deflect,  head off, stave off, fend off, avoid, ward off,prevent, forestall, foreclose, preclude, forbid,2, turn away,turn
splinter	  1,secede,  break away,separate, part, split up, split, break, break up,2,sliver, divide, split, split up, separate, dissever, carve up,3, sliver,break up, fragment, fragmentize, fragmentise
report	  1, describe, account,inform,2,announce, denote,3,announce, denote,4,inform,5, cover,inform,6,complain, kick, plain, sound off, quetch, kvetch
personalise	  1,personalize,  individualize, individualise,change, alter, modify
cart	  1,haul, hale,  drag,pull, draw, force,2,transport, carry
kid	  1,pull the leg of, gull, dupe, slang, befool, cod, fool, put on, take in, put one over, put one across,2, chaff, jolly, josh, banter,tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit, rally, ride
elaborate	  1, lucubrate, expatiate, exposit, enlarge, flesh out, expand, expound, dilate,clarify, clear up, elucidate,2,produce, make, create,3,complicate, refine, rarify, change, alter, modify,4, work out,develop, make grow
climb	  1, climb up, mount, go up,rise, lift, arise, move up, go up, come up, uprise,2,move,3,wax, mount,  rise,increase,4,slope, incline, pitch,5,progress, come on, come along, advance, get on, get along, shape up,6,rise, go up, grow
report	  1, describe, account,inform,2,announce, denote,3,announce, denote,4,inform,5, cover,inform,6,complain, kick, plain, sound off, quetch, kvetch
ground	  1,anchor, fasten, fix, secure,2,restrain, confine, hold,3,put, set, place, pose, position, lay,4,teach, learn, instruct,5, run aland,6, run areach, make, attain, hit, arrive at, gain,7,throw,8,hit,9,hit,10,prime,  undercoat,paint,11,connect, link, tie, link up,12,establish, base,  found
grind	  1,crunch, cranch, craunch, press,2,grate, break up, fragment, fragmentize, fragmentise,3, mash, crunch, bray, comminute,break up, fragment, fragmentize, fragmentise,4,labor, labour, toil, fag, travail,  drudge, dig, moil,work, do work,5,dance, trip the light fantastic, trip the light fantastic toe,6,make, create,7,shape, form, work, mold, mould, forge
explain	  1, explicate,inform,2,state, say, tell,3,excuse, justify, vindicate
replace	  1,regenerate, renew,2,supplant,  supersede, supervene upon, supercede,succeed, come after, follow,3,substitute, exchange, change, interchange,4, put back,put, set, place, pose, position, lay
bring	  1, convey, take,transport, carry,2,change, alter, modify,3, work, play, wreak, make for,make, create,4, get, convey, fetch,transmit, transfer, transport, channel, channelize, channelise,5, land,change, alter, modify,6,7,lend, impart, bestow, contribute, add, change, alter, modify,8,institute, make, create,9,fetch, bring in, 10,attract, pull, pull in, draw, draw in,11,induce, stimulate, cause, have, get, make
cheat	  1, rip off, chisel,victimize, victimise,2, chouse, shaft, screw, chicane, jockey,beat, beat out, crush, shell, trounce, vanquish,3, chisel,deceive, lead on, delude, cozen,4,cheat on,  cuckold, betray, wander,deceive, lead on, delude, cozen
speak	  1,talk,  utter, mouth, verbalize, verbalise,communicate, intercommunicate,2,talk, communicate, intercommunicate,3, talk,communicate, intercommunicate,4,address, 5,sound
overshadow	  1, eclipse,excel, stand out, surpass,2,shadow,  dwarf,dominate, command, overlook, overtop,3,obscure, befog, becloud, obnubilate, haze over, fog, cloud, mist
marginalise	  1,marginalize, interact
strike	  1,hit,  impinge on, run into, collide with,touch,2,touch,3,affect, impress, move, 4, hit,attack, assail,5,read, register, show, record,6,hit, affect, impact, bear upon, bear on, touch on, touch,7, walk out,protest, resist, dissent,8,fall, shine, happen, hap, go on, pass off, occur, pass, fall out, come about, take place,9,come to, achieve, accomplish, attain, reach,10, hit,touch,11,shape, form,12,fall upon,  come upon, light upon, chance upon, come across, chance on, happen upon, attain, discover,find, regain,13,make, create,14, scratch, expunge, excise,delete, cancel,15,hit,  come to,16,hit, move, displace,17,assume, take,  take up,move,18,mint, coin, create from raw material, create from raw stuff,19,strickle, flush, level, even out, even,20,penetrate, perforate,21,solve, work out, figure out, puzzle out, lick, work
herald	  1,announce, annunciate, harbinger, foretell, tell,2,acclaim, hail, applaud,3,hail, greet, recognize, recognise
expire	  1,run out, discontinue,2,die, decease, perish, go, exit, pass away,  pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,change state, turn,3,exhale,  breathe out,breathe, take a breath, respire, suspire
standardize	  1, standardise,regulate, regularize, regularise, order, govern,2, standardise,measure, evaluate, valuate, assess, appraise, value
bring	  1, convey, take,transport, carry,2,change, alter, modify,3, work, play, wreak, make for,make, create,4, get, convey, fetch,transmit, transfer, transport, channel, channelize, channelise,5, land,change, alter, modify,6,7,lend, impart, bestow, contribute, add, change, alter, modify,8,institute, make, create,9,fetch, bring in, 10,attract, pull, pull in, draw, draw in,11,induce, stimulate, cause, have, get, make
hurt	  1,ache, smart, cause to be perceived,2,indispose,3,pain, anguish, upset, discompose, untune, disconcert, discomfit,4, injure,damage,5, wound, injure, bruise, offend, spite,arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke,6, ache, suffer,perceive, comprehend,7,suffer, be
glass	  1, glaze,supply, provide, render, furnish,2,scan,3, glass in,enclose, close in, inclose, shut in,4,insert, enclose, inclose, stick in, put in, introduce,5,glaze,  glass over, glaze over,change
tie	  1, bind,fasten, fix, secure,2, draw,equal, match, equalize, equalise, equate,3,restrict, restrain, trammel, limit, bound, confine, throttle,4,connect, link,  link up,5,shape, form,6,bind,  attach, bond,relate,7,marry, wed,  splice,officiate,8,fashion, forge,9,connect, link,  link up
hole	  1, hole out,hit,2,hollow, hollow out, core out
