dj	dj || 0
french	french || 0
o.k.	approve,back,confirm,endorse,support || 0.698805788088
a arouse	wake || 0.0
a develop	rise || 0.0
a move up	rise || 0.0
a perch	light || 0.0
a rise up	rise || 0.0
a up get up	rise || 0.0
a up jump	rise || 0.0
a waitress	wait || 0.0
abandon	cast aside,cast away,cast out,chuck out,desert,desolate,discard,dispose,ditch,empty,expose,fling,forgo,forsake,give up,go away,go forth,leave,put away,quit,relinquish,throw away,throw out,toss,toss away,toss out,vacate || -0.199504249565
abase	humble,smash || -0.232935262696
abate	decrease,die away,diminish,fall,lessen,let up,minify,slack,slack off,slake || 0.399051741003
abbreviate	contract,cut,digest,reduce || 0
abduce	cite || 0
abduct	shanghai || 0
abide	accept,bear,digest,endure,pay,stand,stay,submit,suffer,support,take,undergo,visit || 0.30309401557
abide by	celebrate,follow,respect || 0.0
abridge	contract,cut,digest,reduce || 0
absent	remove || -0.329679953964
absolve	free,justify,relieve || 0.329679953964
absorb	draw,involve,mop,mop up,plunge,steep,suck || 0.981684361111
abstain	avoid || 0
abstract	lift || 0.329679953964
abuse	assail,assault,attack,blackguard,clapperclaw,do by,expend,handle,ill-treat,ill-use,lash out,maltreat,mistreat,misuse,pervert,round,shout,snipe,step,treat,use || -0.698805788088
abut	butt,edge,march,neighbor,neighbour || 0
ac impute	credit || 0.0
ac keep consort	company || 0.0
accede	ascend,enter,submit || 0
accelerate	deepen,intensify,modify,qualify,quicken,speed,speed up || 0.550671035883
accent	stress,underline,underscore || 0.329679953964
accentuate	stress,underline,underscore || 0.329679953964
accept	abide,acknowledge,acquire,admit,adopt,agree,allow,assume,be,bear,believe,borrow,brook,consent,digest,embrace,endure,evaluate,get,give,go for,have,judge,know,let,live with,pass judgment,put up,react,receive,recognize,respect,respond,settle,stand,stick out,stomach,submit,succumb,suffer,support,swallow,take,take on,take over,tolerate,welcome,yield || 0.399051741003
access	address,arrive at,attain,find,gain,get at,hit,make,reach,recover^,regain,retrieve || 0
accession	enter,put down,record || 0
accommodate	adjust,hold,house,keep,quarter,seat,suit,tame,wire || 0.329679953964
accompany	follow,rule,run,see || -0.329679953964
accomplish	achieve,action,average,begin,complete,culminate,do,make,manage,perform,reach,run,strike || 0
accord	agree,allot,give,go,grant || 0
accost	address,approach,recognize || 0.550671035883
account	answer for,balance,be,bill,calculate,charge,compound,credit,declare,describe,inform,report || 0
accredit	recognize || 0
accrue	fall || 0
accumulate	amass,backlog,catch,collect,compile,conglomerate,cumulate,drift,fund,gather,hive away,hoard,increase,lay in,pile up,put in,roll up,run up,salt away,stack away,stash away,store || 0.60618803114
accuse	blame*,charge,file || 0
achange	rouse || 0.0
ache	bite,catch,die,get,hurt,itch,languish,shoot,sting,suffer,yen || -0.518798830058
achieve	accomplish,attain,average,begin,bring home the bacon,come through,culminate,deliver the goods,make,manage,reach,strike,succeed,win || 0
acknowledge	accept,adjudge,admit,appreciate,cite,communicate,declare,give thanks,hold,know,mention,notice,pass,pass along,pass on,put across,react,receipt,recognise,recognize,respond,sustain,thank || 0.0
acquaint	introduce,present,verse || 0
acquire	accept,adopt,assume,benefit^,borrow,buy,catch,change,clear,collect,cut,develop,earn,evolve,find,gain,garner,get,grow,have,larn,learn,locate,make,poll,produce,profit,purchase,realize,receive,reclaim,recoup,recover^,regain,share,situate,stock,take,take on,turn,win || 0.540375709752
acquit	assert,bear,behave,carry,clear,conduct,deal,pose || 0.30309401557
act	act as,anticipate,approach,assume,attempt,bank,be,bear,begin,behave,bring home the bacon,carry,come through,commit,conduct,continue,cope,counter,counteract,create,criticise*,criticize,deal,deliver the goods,dissemble,do,effect,exert,finish,flirt,follow,force,foresee,go,joke,keep,make,manage,move,offer,oppose,optimize,partner,perform,play,playperform,pretend,proceed,pull,pursue,race,re-create,react,relax,repay,repeat,represent,respond,roleplay,rush,seek,serve,snap,stampede,start,succeed,support,surprise,swagger,swell,take,try,use,wait,win,woo,work || 0.392673744445
act as	act,play || 0.0
act involuntarily	blink || 0.0
act on	pursue || 0.0
act reflexively	blink || 0.0
act upon	carry,dominate,form,influence,manipulate,pressure,swing,work || 0.0
action	accomplish,carry out,carry through,challenge,complete,do,effect,effectuate,execute,finish,fulfil,fulfill,litigate,perform,process,run,set up,sue || 0
activate	spark,trigger || 0.232935262696
actualise	realize || 0
actualize	realize || 0
actuate	move,prompt,propel,spark,trigger || 0.329679953964
ad stake	venture || 0.0
adapt	adjust,focus,match,readjust,square,tame,wire || -0.550671035883
add	add together,add up,alter,append,bestow,bring,button,calculate,change,cipher,combine,compound,compute,constitute,contribute,count,cypher,enumerate,figure,foot,form,impart,include,increase,inject,lend,make,mark,mix,modify,number,numerate,reckon,say,state,string,sum,sum up,summate,supplement,supply,tally,tell,tot,tot up,total,tote up,work out || 0.864664716763
add on	supplement || 0.0
add together	add,foot,sum,total || 0.0
add up	add,amount,average,come,make,number,sum,total || 0.0
address	access,accost,adjust,aim,align,aline,apply,approach,ask,broach,call,come,come up,come up to,communicate,cover,deal,direct,discuss,employ,handle,harangue,initiate,instrument,intercommunicate,label,line up,place,plow,point,recognize,speak,target,treat,turn to,use,utilise,utilize || 0.550671035883
adduce	cite || 0
adhere	bind,bond,cling,stick || -0.232935262696
adjoin	butt,cling,cover,edge,hug,march,meet,neighbor,neighbour,stick,surround,touch || 0
adjourn	break up,withdraw || 0.329679953964
adjudge	acknowledge,call,cancel,declare,hold,label,pronounce || 0.0
adjudicate	adjust,settle,try || 0
adjure	bid,press || 0.329679953964
adjust	accommodate,adapt,address,adjudicate,align,aline,alter,calibrate,change,conform,coordinate,correct,decide,focus,justify,line up,match,modify,plumb,proportion,readjust,reorient,resolve,set,settle,square,temper,time,trim,zero || 0.172932943353
administer	allot,deal,give,inject,lot,manage,portion,shoot || -0.550671035883
administrate	manage || 0
admire	esteem,look,look up to,prise,prize,respect,value || 0.329679953964
admit	accept,acknowledge,allow,hold,house,include,initiate,involve,repatriate,seat,sustain,take || -0.550671035883
admonish	warn || -0.172932943353
adopt	accept,acquire,assume,borrow,change,choose,compose,dramatise,dramatize,embrace,espouse,follow,have,indite,pen,pick out,resume,select,stick,sweep up,take,take in,take office,take on,take over,take up,write || 0.239809449005
adorn	beset,flag,flight,hang,illustrate,invest,stick,trim || 0.550671035883
adulterate	debase,dilute,stretch || 0
adumbrate	outline || 0.329679953964
advance	advise,ameliorate,amend,assign,back up,better,boost,bring forward,carry,climb,come along,come on,contribute,delegate,depute,designate,develop,displace,edge,elevate,encourage,favor,feed,forge,foster,further,gain,gain ground,get ahead,get along,get on,go,go on,help,hit,improve,inch,increase,kick upstairs,lead,lend,loan,locomote,make headway,march on,meliorate,mount,move,move on,overtake,pass,pass on,prefer,progress,promote^,propose,pull ahead,raise,rise,set,set ahead,shape up,spur,string,suggest,supercharge,support,throw out,travel,upgrade,wax,win || 0.550671035883
advantage^	capitalize,favor,favour,prefer || 0.0
adventure	assay,attempt,chance,essay,gamble,hazard,jeopardize,lay on the line,put on the line,risk,run a risk,seek,stake,take a chance,take chances,try,venture || 0.329679953964
advert	allude,appeal,attend,bring up,cite,give ear,hang,have in mind,hint,listen,mean,mention,name,pay heed,quote,raise,refer,remember,suggest,think of,touch || 0.329679953964
advertise	advertize,announce,bill,campaign,denote,fight,headline,praise,press,promote^,publicise,publicize,push || 0.329679953964
advertize	advertise,bill,campaign,fight,headline,press,promote^,push || 0.329679953964
advise	advance,advocate,move,press,propose,recommend,state,submit,suggest,tip,warn || -0.329679953964
advocate	advise,exhort,preach,press,propose,recommend,suggest,urge,urge on || 0
aerate	air || 0.0
affect	alter,bear on,bear upon,belie,bother,brace,bull,calm,change,come to,concern,dissemble,expose,fake,feign,hit,impact,impress,infect,influence,involve,misrepresent,modify,move,pertain,pierce,pretend,process,refer,regard,register,relate,relax,sham,soak,stimulate,stir,strain,strike,subject,surprise,touch,touch on,treat,trouble,unwind,work || -0.399051741003
affiance	plight || 0
affiliate	ally,associate,company,date,see || -0.329679953964
affirm	assert,back,claim,confirm,declare,defend,establish,hold,maintain,prove,reaffirm,reassert,show,support,sustain,take,tell,validate || 0.329679953964
affix	post,seal,supplement || 0
afflict	ail,pain,plague,strain,stress,trouble,try,visit || -0.60618803114
afford	allow,drop,expend,furnish,give,leave,open,provide,render,spend,supply,yield || 0.798103482005
affright	scare || -0.329679953964
age	mature,turn || 0.232935262696
aggrandise	pad || 0.329679953964
aggrandize	pad || 0.329679953964
aggravate	alter,anger,change,cheapen,exacerbate,exasperate,modify,worsen* || -0.329679953964
aggregate	combine || 0.329679953964
aggroup	pool,team || 0
agitate	beat,bother,budge,campaign,charge,fight,press,push,rouse,scramble,shake,shift,slash,stir,toss || 0.756525993652
agmeet	group || 0.0
agnise	know,realize,recognize || 0.329679953964
agnize	know,realize,recognize || 0.329679953964
