	0 || 0
dj	0 || 0
dj	0 || 0
french	0 || 0
french	0 || 0
french	0 || 0
o.k.	0 || 0
o.k.	0 || 0
o.k.	0 || 5
o.k.	0 || 3
a	0 || 0
a	0 || 0
a	0 || 0
a	0 || 0
a	0 || 0
a	0 || 0
a	0 || 0
a	0 || 0
abandon	1 || 0
abandon	9 || 6
abase	2 || 1
abate	1 || 3
abbreviate	0 || 0
abduce	0 || 0
abduct	0 || 0
abide	2 || 4
abide	2 || 4
abridge	0 || 0
absent	0 || 0
absent	1 || 0
absolve	0 || 1
absorb	0 || 10
abstain	0 || 0
abstract	0 || 0
abstract	1 || 0
abstract	0 || 1
abuse	5 || 0
abuse	3 || 0
abut	0 || 0
ac	0 || 0
ac	0 || 0
accede	0 || 0
accelerate	0 || 2
accent	2 || 4
accent	0 || 1
accentuate	0 || 1
accept	1 || 3
access	0 || 0
access	0 || 0
accession	1 || 1
accession	0 || 0
accommodate	0 || 1
accompany	1 || 0
accomplish	0 || 0
accord	0 || 1
accord	0 || 0
accost	0 || 2
account	4 || 3
account	0 || 0
accredit	0 || 0
accrue	0 || 0
accumulate	1 || 5
accuse	0 || 0
ache	2 || 1
ache	4 || 1
achieve	0 || 0
acknowledge	1 || 1
acquaint	0 || 0
acquire	2 || 7
acquit	2 || 4
act	1 || 1
act	3 || 7
act	1 || 1
act	3 || 7
act	1 || 1
act	3 || 7
act	1 || 1
act	3 || 7
act	1 || 1
act	3 || 7
act	1 || 1
act	3 || 7
action	1 || 9
action	0 || 0
activate	1 || 2
actualise	0 || 0
actualize	0 || 0
actuate	0 || 1
ad	0 || 0
ad	0 || 0
adapt	2 || 0
add	0 || 0
add	0 || 5
add	0 || 0
add	0 || 5
add	0 || 0
add	0 || 5
add	0 || 0
add	0 || 5
address	0 || 1
address	0 || 2
adduce	0 || 0
adhere	2 || 1
adjoin	0 || 0
adjourn	0 || 1
adjudge	1 || 1
adjudicate	0 || 0
adjure	0 || 1
adjust	2 || 3
administer	2 || 0
administrate	0 || 0
admire	0 || 1
admit	2 || 0
admonish	3 || 2
adopt	3 || 5
adorn	0 || 2
adulterate	2 || 1
